x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33
10.82	24.04	-23.99	-27.22	-27.72	-22.08	11.48	-24.45	17	27.53	-28.45	-20.03	-13.33	10.67	-19.82	-19.04	12.58	-28.74	-29.67	24.95	-25.31	29.13	22.93	-16.22	8.11	-23.03	-10.18	22.42	-29.49	-2.31	-31.36	19.79	-16.09	4.41	-9.33	-6.49	-5.92	11.33	-3.86	-3.02	-9.62	-5.59	11.63	-0.50	-0.67	5.64	-6.35	-8.33	-8.52	2.18	6.24	14.01	8.2	-2.29	-3.04	7.71	-4.37	3.26	9.38	-5.41	3.68	-11.12	0.87	5.84	-5.11	-8.8
11.06	23.97	-23.86	-27.18	-27.5	-21.74	11.49	-24.25	16.89	27.25	-28.57	-20.18	-13.42	10.67	-19.53	-19.21	11.99	-28.87	-29.73	25.07	-24.91	29.63	22.91	-16.08	8.29	-23.12	-10.33	22.39	-29.42	-2.43	-31.82	19.58	-15.95	4.31	-9.34	-6.13	-6.22	11.55	-3.97	-3.37	-9.87	-5.84	11.79	-0.22	-0.73	5.49	-6.04	-8.42	-8.52	1.96	6.13	13.67	7.91	-2.3	-3.22	7.74	-4.15	3.07	9.47	-5.26	3.8	-11.02	0.93	6.28	-4.9	-8.51
10.9	23.76	-23.95	-27.54	-27.44	-21.6	11.12	-24.27	16.89	26.93	-28.75	-19.83	-13.77	10.37	-20.52	-19.48	12.13	-28.88	-29.2	24.77	-24.91	29.44	22.29	-15.94	8.13	-22.81	-10.18	22.47	-29.4	-2.88	-31.27	19.95	-16.02	3.88	-9.56	-5.86	-6.6	11.47	-3.99	-3.42	-9.62	-5.7	11.53	0.16	-0.36	5.85	-5.96	-8.55	-8.55	1.73	6.12	13.78	7.87	-2.49	-3.72	7.95	-3.99	3.5	9.57	-5.14	4.26	-11.27	1.24	6.68	-4.83	-8.86
11.32	23.75	-23.95	-27.2	-27.78	-21.47	11.07	-24.45	16.66	26.89	-28.9	-19.7	-13.95	10.32	-20.53	-19.39	12.05	-29.55	-29.67	24.74	-24.77	29.87	22.1	-15.83	7.9	-22.56	-10.1	22.22	-29.56	-3.45	-31.1	20.01	-15.61	4.32	-9.63	-5.98	-6.06	11.49	-4	-3.17	-9.6	-5.96	11.78	0.23	0.28	6.03	-5.39	-8.75	-9.07	1.69	6.5	13.56	7.65	-2.52	-4.54	7.53	-3.6	3.85	9.33	-5.03	3.74	-11.33	1.39	6.65	-4.67	-8.68
11.45	23.75	-23.75	-27.07	-27.19	-21.5	10.86	-24.1	16.29	26.63	-29.03	-19.84	-13.75	10.57	-20.6	-19.77	12.15	-29.63	-30.01	24.61	-24.39	29.9	21.97	-15.46	7.42	-22.53	-9.85	22.44	-29.87	-3.37	-31	20.3	-15.45	4.4	-9.92	-5.21	-6.28	11.38	-4.24	-3.28	-9.62	-5.72	11.71	0.44	0.060	6.15	-5.38	-8.84	-9.03	1.57	6.31	13.52	7.63	-2.77	-4.85	7.81	-3.51	4.11	9.08	-4.48	4.2	-11.71	1.35	6.56	-4.52	-8.48
11.43	23.75	-23.96	-26.75	-27.08	-21.21	10.5	-24.19	16.24	26.57	-29.19	-19.99	-14.01	10.61	-20.87	-20.17	12.59	-29.79	-30.12	24.87	-24.12	29.91	20.97	-14.6	7.35	-22.45	-9.86	22.1	-30.32	-3.6	-30.46	20.41	-15.08	4.37	-9.79	-4.78	-6.45	11.28	-4.51	-3.12	-9.32	-5.91	11.67	0.47	0.39	6.25	-5.27	-8.94	-8.82	1.1	6.34	13.61	7.36	-2.83	-4.93	7.69	-3.03	4.09	8.86	-4.62	4.21	-11.74	1.38	6.23	-4.59	-8.71
11.81	24.03	-24.05	-26.56	-27.02	-21.13	10.15	-23.96	16	26.33	-29.31	-19.45	-14.46	10.8	-20.17	-20.78	12.23	-29.99	-30.46	24.37	-24.03	29.73	21.12	-14.6	6.74	-21.99	-9.79	22.1	-30.22	-3.89	-30.45	20.8	-15.04	4.19	-9.99	-4.83	-6.4	11.05	-4.64	-2.82	-10.17	-6.15	11.54	0.74	-0.060	5.52	-4.89	-8.26	-8.84	0.70	6.46	13.65	7.3	-2.7	-5.13	7.56	-3.15	4.08	8.79	-4.4	4.14	-11.42	1.23	6.57	-4.47	-8.71
11.94	24.14	-23.48	-26.21	-26.9	-21.25	10.24	-24.01	15.83	26.09	-29.15	-19.38	-14.23	10.81	-20.11	-20.29	12.16	-30.07	-30.63	24.43	-23.64	29.37	21.02	-14.24	6.7	-22.02	-9.24	22.24	-30.46	-3.89	-30.36	20.78	-14.71	3.91	-10.36	-4.86	-6.35	10.83	-4.93	-2.92	-10.02	-6.27	11.76	1.09	-0.32	5.29	-4.82	-8.4	-9.09	0.46	6.25	13.91	7.32	-2.57	-5.03	7.59	-3.17	3.95	8.93	-4.33	4.79	-11.89	1.11	6.8	-4.49	-8.89
12.17	23.73	-23.51	-26.3	-26.59	-21.15	10.08	-23.96	15.63	25.95	-29.03	-19.56	-14.67	10.52	-19.95	-20.22	12.25	-30.39	-30.54	24.8	-23.9	29.03	21.11	-14	6.35	-21.94	-8.84	21.88	-30.58	-4.3	-29.89	21.04	-14.85	3.89	-10.66	-4.8	-6.45	10.81	-4.95	-3.18	-10.07	-6.2	11.75	1.19	-0.33	5.53	-4.7	-8.34	-9.25	0.42	6.63	14	6.9	-2.01	-5.21	7.72	-3.12	4.24	9.08	-4.12	4.7	-12.41	0.96	6.71	-4.8	-9.25
12.6	23.94	-23.18	-26.13	-26.71	-20.98	10.48	-24.33	15.34	25.85	-29.23	-19.2	-14.69	11.05	-20.11	-20.3	12.52	-30.74	-30.99	24.91	-23.88	29.17	21.07	-13.69	5.77	-21.85	-8.94	22.27	-30.44	-4.86	-29.89	21.17	-14.81	3.27	-10.86	-4.9	-6.66	10.41	-4.89	-3.68	-9.65	-6.32	11.76	1.08	-0.35	5.28	-4.6	-8.2	-9.69	0.090	6.31	13.89	6.69	-1.81	-5.43	8.21	-2.92	4.26	8.82	-3.9	4.93	-12.26	1.41	6.33	-4.85	-9.61
12.59	23.65	-23.16	-26.3	-26.67	-20.58	10.4	-24.29	15.46	25.52	-29.06	-19.27	-14.92	11.25	-20.31	-20.3	12.79	-31.24	-31.2	25.09	-23.79	28.99	21.4	-13.71	5.52	-21.27	-8.93	22.43	-31.13	-4.84	-29.97	21.2	-14.85	3.46	-10.97	-4.63	-7.23	10.67	-4.92	-3.95	-9.39	-6.41	11.72	1.07	-0.37	5.31	-4.47	-8.11	-10.24	-0.040	6.24	13.53	6.72	-1.85	-5.72	8.88	-2.68	4.03	8.3	-3.91	5.03	-11.76	1.28	6.49	-4.98	-9.71
12.59	23.44	-22.82	-26.56	-27.02	-20.3	10.37	-24.05	15.05	25.11	-28.48	-18.84	-15.38	11.32	-20.02	-20.09	12.75	-31.24	-31.48	25.36	-23.85	28.82	21.02	-13.75	5.44	-21.31	-9.24	22.44	-31.17	-4.8	-29.74	21.66	-14.54	3.58	-11.17	-4.59	-7.58	10.72	-5.27	-3.52	-9.25	-6.33	12.14	1.02	-1.1	5.16	-4.31	-7.98	-10.01	-0.25	6.82	14.05	6.7	-1.56	-5.63	8.62	-2.47	4.23	8.31	-3.57	5.06	-11.91	1.31	5.8	-4.64	-9.67
12.84	23.51	-22.73	-26.52	-26.85	-20.44	10.38	-24.08	14.91	25.14	-28.7	-18.51	-15.37	11.43	-19.9	-20.07	12.88	-31.16	-31.66	25.93	-24.1	28.86	21.29	-13.69	5.16	-21.34	-9.79	22.57	-31.32	-4.5	-29.68	21.69	-14.57	3.83	-11.27	-4.48	-7.32	11.2	-5.42	-3.93	-9.17	-6.38	12.21	1.15	-1.3	5.52	-4.24	-7.27	-10.19	-0.53	7.08	13.4	6.65	-1.31	-5.87	8.79	-2.42	4.04	8.24	-3.31	5.14	-11.96	1.76	5.46	-4.29	-9.54
12.86	23.59	-22.61	-26.62	-26.78	-20.06	10.34	-24.28	14.44	24.86	-28.57	-18.68	-15.57	11.75	-19.79	-19.86	12.43	-31.49	-31.19	25.99	-24	28.62	21.44	-13.13	4.9	-21.82	-9.92	22.54	-31.56	-4.69	-29.54	22.05	-14.23	3.92	-11.34	-4.22	-7.14	11.36	-4.92	-4.13	-8.65	-6.7	12.24	1.08	-1.56	6.31	-4.21	-7.32	-10.17	-0.52	7.08	14.03	6.4	-1.42	-6.11	8.36	-2.33	3.86	7.95	-3.29	5.32	-12.35	2.08	5.34	-4.22	-9.74
12.67	23.59	-22.54	-26.83	-26.84	-19.74	9.99	-24.3	14.36	24.62	-28.26	-18.26	-15.83	12.23	-19.92	-19.54	12.43	-31.68	-31.08	26.05	-23.9	28.33	21.62	-12.93	4.67	-21.86	-10.21	23.02	-31.15	-5.01	-29.32	21.92	-13.81	4.32	-11.31	-3.93	-7.19	11.69	-5.11	-4.32	-8.72	-7.16	12.18	1.3	-1.82	6.49	-4.24	-7.36	-10.74	-0.55	7	14.1	6.74	-1.18	-6.21	8.16	-2.27	3.85	7.86	-3.24	5.48	-12.45	2.26	4.88	-4.4	-9.72
12.68	23.68	-22.48	-27.16	-26.93	-19.64	9.46	-24.2	14.26	24.54	-28.42	-18.41	-15.71	12.14	-19.92	-19.7	12.19	-31.94	-31.18	26.34	-23.51	28.53	21.5	-13.05	4.47	-21.66	-10.04	23.04	-31.27	-5.43	-28.99	22.11	-13.68	4.3	-11.48	-3.82	-7.28	11.68	-5.5	-4.53	-8.6	-7.17	13.13	1.46	-1.8	6.45	-4.8	-7.05	-10.73	-0.68	7.11	13.68	6.81	-1.23	-6.49	8.18	-2.39	3.4	7.82	-3.13	5.58	-12.59	1.98	5.72	-4.44	-9.32
12.97	23.76	-22.44	-27.11	-26.55	-19.6	9.73	-24.21	14.04	24.48	-28.57	-17.93	-15.56	12.27	-20.03	-19.7	12.22	-32.13	-31.17	26.64	-23.3	27.6	21.4	-12.84	4.41	-21.86	-10.06	23.28	-31.12	-5.42	-29.16	22.42	-13.65	4.13	-11.96	-3.92	-7.05	12.07	-5.56	-4.52	-8.52	-6.49	13.02	1.75	-2.24	6.33	-4.27	-7.18	-11	-1.29	7.05	13.41	6.36	-1.21	-6.16	7.76	-2.7	3.36	7.83	-2.41	5.74	-12.59	2.29	5.5	-4.39	-9.24
12.97	23.64	-22.82	-27.03	-26.69	-19.46	9.74	-24.13	14.01	24.33	-28.5	-18.03	-15.46	12.52	-19.89	-20.27	12.22	-32.3	-30.96	26.5	-23.48	27.43	21.34	-12.72	4.67	-22.06	-10.23	23.63	-31.02	-5.44	-29.09	22.68	-13.55	4.12	-12.05	-4.27	-7.22	12.12	-5.34	-5.03	-8.68	-6.5	13.06	1.77	-2.38	5.91	-4.19	-6.96	-10.78	-1.44	7.43	13.54	6.25	-1.15	-6.12	7.9	-2.25	3.12	6.97	-2.29	5.91	-11.92	2.27	5.99	-4.56	-9.13
13.07	23.62	-22.69	-26.74	-26.5	-19.99	9.58	-24.29	13.66	24.48	-28.46	-18.22	-15.78	12.73	-19.9	-20.33	12.74	-31.77	-30.77	26.91	-23.54	27.52	21.12	-12.59	4.97	-22.15	-9.84	23.64	-31.29	-5.76	-29.26	22.81	-13.44	3.81	-12.03	-3.89	-6.87	11.95	-5.66	-4.97	-8.58	-6.78	13.57	1.97	-2.17	6.02	-4.42	-6.8	-10.96	-1.39	7.94	13.46	6.19	-1.01	-6.23	7.71	-2.64	3.27	7.26	-2.13	6.06	-11.81	2.16	5.95	-4.66	-8.91
13.23	23.59	-23.19	-26.35	-25.66	-20.93	9.26	-24.43	13.12	23.83	-28.06	-17.92	-15.65	13.08	-19.25	-20.75	12.49	-31.23	-30.05	27.44	-23.7	27.17	20.62	-12.88	4.39	-22.59	-9.93	24.13	-30.59	-5.46	-29.74	22.47	-13.43	3.04	-11.86	-3.84	-6.77	12.02	-5.55	-5.11	-8.26	-7.35	13.53	2.6	-2.41	5.38	-4.31	-7.45	-11.1	-1.36	8.49	12.18	6.45	-0.43	-6.56	8.26	-3.34	3.7	7.34	-1.59	5.41	-11.63	2.1	5.55	-4.37	-8.76
